der Absolvent, -en / die Absolventin, -nen	graduate / випускник | Als Absolvent einer IT-Akademie suche ich meinen ersten Job.
die Gewährleistungsfrist, -en	warranty period / гарантійний термін | Die Gewährleistungsfrist für die neuen Firmen-Monitore beträgt zwei Jahre.
die Kleinigkeit, -en	small detail, minor matter / дрібниця | Das kleine CSS-Problem ist nur eine Kleinigkeit und schnell gefixt.
lediglich	merely, only / лише, тільки | Der Bug tritt lediglich im Safari-Browser auf.
machbar	feasible, doable / здійсненний, можливий | Dieses Feature ist technisch machbar, dauert aber zwei Sprints.
der Mangel, "-	defect, flaw / недолік, дефект | Beim automatisierten Software-Test haben wir einen kritischen Mangel gefunden.
die Nacharbeiten (Pl.)	rework, touch-ups / доопрацювання | Nach dem Code Review müssen wir noch kleine Nacharbeiten erledigen.
die Nachbesserung, -en	rectification of defects, improvement / виправлення (помилок), доопрацювання | Der Kunde fordert eine Nachbesserung beim UI-Design.
der Personalengpass, "-e	staff shortage / нестача персоналу | Wegen Krankheit haben wir aktuell einen Personalengpass im Support-Team.
die Pflicht, -en	duty, obligation / обов'язок | Es ist meine Pflicht als Admin, regelmäßige Backups zu erstellen.
das Prüfstück, -e	test piece, sample / дослідний зразок, тестовий екземпляр | Wir nutzen einen Prototyp der Hardware als Prüfstück.
in der Regel	usually, as a rule / зазвичай, як правило | In der Regel schreiben wir Unit-Tests für jede neue Funktion.
das Übergabeprotokoll, -e	handover protocol / акт передачі | Beim Wechsel des Laptops unterschreibt der Mitarbeiter ein Übergabeprotokoll.
unverzüglich	immediately, without delay / негайно, без зволікань | Kritische Server-Ausfälle müssen unverzüglich gemeldet werden.
die Verzögerung, -en	delay / затримка | Aufgrund eines Bugs gab es eine Verzögerung beim App-Release.
zeitnah	promptly, in a timely manner / своєчасно, найближчим часом | Bitte beantworten Sie die Support-Tickets möglichst zeitnah.
zufriedenstellend	satisfactory / задовільний | Die Performance der App ist nach dem Datenbank-Update sehr zufriedenstellend.
die Abmahnung, -en	warning, reprimand (written) / попередження, догана | Ständiges Zuspätkommen zum Daily Scrum kann zu einer Abmahnung führen.
akzeptabel	acceptable / прийнятний | Eine Ladezeit von über 5 Sekunden ist für die User nicht akzeptabel.
die Bewertung, -en	evaluation, review, rating / оцінка, відгук | Unsere neue App hat eine sehr gute Bewertung im App Store erhalten.
eine Dienstleistung erbringen (erbringt, erbrachte, hat erbracht)	to provide a service / надавати послугу | Unser Cloud-Provider muss die vertraglich vereinbarte Dienstleistung erbringen.
erwünscht	desired, welcome / бажаний | Konstruktives Feedback im Code Review ist immer erwünscht.
fällig werden	to become due (for payment) / підлягати сплаті, настати (про термін) | Die Rechnung für das Software-Abo wird am Monatsende fällig.
permanent	permanent(ly) / постійний, перманентний | Wir brauchen eine permanente und sichere Verbindung zur Datenbank.
eine Rolle spielen	to play a role/part / відігравати роль | Clean Code spielt eine große Rolle für die Wartbarkeit unseres IT-Projekts.
der Schadenersatz (Sg.)	compensation for damages / відшкодування збитків | Bei einem großen Datenverlust kann der Kunde Schadenersatz fordern.
tolerant	tolerant / толерантний | Unser Team ist sehr tolerant gegenüber Fehlern, wenn wir daraus lernen.
zum guten Ton gehören	to be good manners/etiquette / бути правилом хорошого тону | Pünktlichkeit beim Zoom-Meeting gehört in unserem Team zum guten Ton.
etw. abschalten (schaltet ab, schaltete ab, hat abgeschaltet)	to switch off, to shut down / вимикати, відключати | Wir müssen den veralteten Datenbank-Server endgültig abschalten.
anfallen (fällt an, fiel an, ist angefallen)	to arise, to be incurred / виникати (про витрати або роботу) | Beim AWS-Cloud-Hosting können sehr hohe Kosten anfallen.
die Aufnahme, -n	recording, picture, admission / знімок, запис, прийом | Bitte schicken Sie eine Aufnahme (Screenshot) der Fehlermeldung im Browser.
begeistert	enthusiastic, excited / у захваті, натхненний | Der Kunde war total begeistert von dem neuen UI-Design.
etw. beheben (z. B. einen Fehler) (behebt, behob, hat behoben)	to fix, to resolve / усувати, виправляти (напр., помилку) | Wir müssen diesen kritischen Bug noch vor dem Release beheben.
etw. beschädigen (beschädigt, beschädigte, hat beschädigt)	to damage / пошкоджувати | Ein starker Stromausfall kann die Server-Hardware beschädigen.
der Dienstleister, - / die Dienstleisterin, -nen	service provider / постачальник послуг, підрядник | Wir nutzen einen externen Dienstleister für unsere IT-Security.
das Display, -s	display, screen / дисплей, екран | Das responsive Design muss sich an jedes Smartphone-Display anpassen.
etw. einstellen (stellt ein, stellte ein, hat eingestellt)	to stop, to adjust / припиняти, налаштовувати | Wir werden den Support for diese alte Software-Version einstellen.
das Elektronikmodul, -e	electronic module / електронний модуль | Das Elektronikmodul des neuen IoT-Geräts ist leider durchgebrannt.
etw. erkennen (erkennt, erkannte, hat erkannt)	to recognize, to detect / розпізнавати, виявляти | Die Künstliche Intelligenz kann komplexe Muster in den Daten erkennen.
erscheinen (erscheint, erschien, ist erschienen)	to appear / з'являтися | Der Error-Code 500 wird auf dem Bildschirm erscheinen.
das Fachgeschäft, -e	specialist shop / спеціалізований магазин | Wir kaufen spezielle Netzwerkkabel im IT-Fachgeschäft.
fehlerhaft	faulty, defective, buggy / помилковий, дефектний | Der fehlerhafte Code führte gestern zu einem Server-Absturz.
den Geist aufgeben (gibt auf, gab auf, hat aufgegeben)	to give up the ghost, to break down / наказати довго жити, зламатися | Meine alte SSD-Festplatte hat gestern leider den Geist aufgegeben.
glücklicherweise	fortunately, luckily / на щастя | Glücklicherweise hatten wir ein aktuelles Backup der gesamten Datenbank.
die Großwäscherei, -en	large-scale laundry / велика пральня | Wir programmieren eine Logistik-Software für eine Großwäscherei.
die Herstellerfirma, -firmen	manufacturing company / компанія-виробник | Die Herstellerfirma bietet keine Sicherheits-Updates mehr für diesen Router an.
jdn. konfrontieren mit (+ Dat.) (konfrontiert, konfrontierte, hat konfrontiert)	to confront someone with / зіштовхувати когось із, пред'являти | Wir mussten den Cloud-Provider mit den ständigen Ausfallzeiten konfrontieren.
lieferbar	available, deliverable / доступний для доставки, в наявності | Die neuen M3-MacBooks für das Entwicklerteam sind aktuell nicht lieferbar.
der Mangel, "-	defect, flaw, shortage / дефект, недолік, нестача | Das QA-Team hat einen schweren Mangel in der App-Sicherheit gefunden.
das Modul, -e	module / модуль | Ich habe das Login-Modul in React komplett neu geschrieben.
der Monteur, -e / die Monteurin, -nen	mechanic, fitter, installer / монтажник, механік | Der Monteur installiert heute das neue Server-Rack im Data Center.
etw. nachbestellen (bestellt nach, bestellte nach, hat nachbestellt)	to reorder / дозамовляти | Wir müssen dringend neue Software-Lizenzen beim Anbieter nachbestellen.
ein Problem beheben (behebt, behob, hat behoben)	to fix/resolve a problem / вирішити проблему | Der IT-Support konnte das Login-Problem des Kunden schnell beheben.
der Retourenschein, -e	return slip / бланк повернення | Dem defekten Firmen-Laptop lag bereits ein Retourenschein bei.
die Serviceleistung, -en	service / сервісна послуга | Die monatliche Server-Wartung ist eine wichtige Serviceleistung.
die Textilie, -n	textile / текстиль, тканина | Unser E-Commerce-Kunde verkauft nachhaltige Textilien im Internet.
umsonst	free of charge, in vain / безкоштовно, даремно | Mein ganzes Refactoring war umsonst, weil der Kunde das Feature gestrichen hat.
etw. verfärben (verfärbt, verfärbte, hat verfärbt)	to discolor / змінювати колір, забарвлювати | Durch die extreme Hitze im Serverraum hat sich das Plastik verfärbt.
etw. versalzen (versalzt, versalzte, hat versalzen)	to oversalt / пересолити | Der Koch in der Betriebskantine hat das Mittagessen leider versalzen.
sich verspäten (verspätet sich, verspätete sich, ist verspätet)	to be late, to be delayed / запізнюватися, затримуватися | Das Release-Datum der neuen Software wird sich um eine Woche verspäten.
jdm. etw. versprechen (verspricht, versprach, hat versprochen)	to promise someone something / обіцяти комусь щось | Der Provider hat uns vertraglich eine Uptime von 99,9% versprochen.
etw. zerbrechen (zerbricht, zerbrach, hat zerbrochen)	to break, to shatter / розбивати | Das Display des Firmen-Smartphones ist leider zerbrochen.
etw. zerkratzen	to scratch / подряпати | Das Gehäuse meines Arbeitslaptops ist durch den Transport zerkratzt.
etw. zerreißen (zerreißt, zerriss, hat zerrissen)	to tear, to rip / розривати | Ich habe das ausgedruckte Passwort aus Sicherheitsgründen zerrissen.
Abhilfe schaffen (schafft, schaffte, hat geschaffen)	to remedy, to fix a problem / зарадити, усунути проблему | Ein neues Caching-System wird bei den langsamen Ladezeiten Abhilfe schaffen.
allerdings	however, indeed / однак, щоправда | Der Code funktioniert einwandfrei, allerdings ist er sehr schwer zu lesen.
etw. bedauern (bedauert, bedauerte, hat bedauert)	to regret / шкодувати про щось | Wir bedauern den gestrigen Server-Ausfall und bitten um Entschuldigung.
zu unserem Bedauern	to our regret / на наш жаль | Zu unserem Bedauern müssen wir die Entwicklung dieses Features stoppen.
etw. bestätigen (bestätigt, bestätigte, hat bestätigt)	to confirm / підтверджувати | Bitte bestätigen Sie den Empfang der neuen Zugangsdaten per E-Mail.
die Dunstabzugshaube, -n	extractor hood / витяжка (кухонна) | Wir haben Smart-Home-Technik für eine WLAN-Dunstabzugshaube entwickelt.
eintreffen (trifft ein, traf ein, ist eingetroffen)	to arrive / прибувати, надходити | Die neue Server-Hardware wird voraussichtlich morgen im Büro eintreffen.
der Eingang, "-e	receipt, arrival, entrance / надходження, вхід | Der Eingang der Zahlung wurde im CRM-System automatisch registriert.
den Eingang bestätigen (bestätigt, bestätigte, hat bestätigt)	to confirm receipt / підтвердити отримання | Die API wird den Eingang der JSON-Daten mit einem Status 200 bestätigen.
