#separator:;
#html:true
#columns:German;German_Audio;English;Ukrainian;Example
die Versandkosten (Pl.);die Versandkosten;shipping costs;вартість доставки;Beim Kauf von Hardware für über 50 Euro entfallen die Versandkosten.
vorteilig;vorteilig;advantageous, beneficial;вигідний, сприятливий;Eine Microservice-Architektur ist sehr vorteilig für die Skalierbarkeit.
die Zahlungsbedingungen (Pl.);die Zahlungsbedingungen;terms of payment;умови оплати;Die Zahlungsbedingungen für die Freelancer-Rechnung stehen unten.
die Zahlungsfrist, -en;die Zahlungsfrist;payment deadline/period;строк оплати;Die Zahlungsfrist für die Server-Miete beträgt 14 Tage.
die Abnahme, -n;die Abnahme;acceptance, approval;приймання (робіт), узгодження;Die Abnahme der neuen Software durch den Kunden erfolgt morgen.
das Abnahmeprotokoll, -e;das Abnahmeprotokoll;acceptance report/protocol;акт приймання-передачі;Der Kunde muss das Abnahmeprotokoll nach dem erfolgreichen Test unterschreiben.
etw. anschauen (schaut an, schaute an, hat angeschaut);anschauen;to look at, to examine;дивитися, розглядати;Lass uns den fehlerhaften Quellcode gemeinsam anschauen (Code Review).
der Auftraggeber, - / die Auftraggeberin, -nen;der Auftraggeber;client, principal, customer;замовник, клієнт;Unser Auftraggeber wünscht sich noch eine Dark-Mode-Funktion.
etw. ausführen (führt aus, führte aus, hat ausgeführt);ausführen;to execute, to perform;виконувати;Das System wird den Code sicher in einem Docker-Container ausführen.
die Bauabnahme, -n;die Bauabnahme;building inspection/acceptance;приймання будівельного об'єкта;Nach der Installation der Server-Racks erfolgt die Bauabnahme im Rechenzentrum.
der Bauherr, -en / die Bauherrin, -nen;der Bauherr;building owner/client;забудовник, власник будівлі;Der Bauherr möchte Smart-Home-Technik im ganzen Haus integrieren.
die Bauleistung, -en;die Bauleistung;construction work;будівельні роботи;Die Installation der IT-Infrastruktur gehört zur Bauleistung.
das Bauunternehmen, -;das Bauunternehmen;construction company;будівельна компанія;Das Bauunternehmen nutzt unsere Projektmanagement-Software.
bedauerlicherweise;bedauerlicherweise;unfortunately, regrettably;на жаль;Bedauerlicherweise hat der Server-Ausfall gestern einige Daten gelöscht.
der Eigentümer, - / die Eigentümerin, -nen;der Eigentümer;owner;власник;Wer ist der Eigentümer dieses GitHub-Repositories?
etw. fertigstellen (stellt fertig, stellte fertig, hat fertiggestellt);fertigstellen;to complete, to finish;завершувати;Wir werden das MVP (Minimum Viable Product) nächsten Monat fertigstellen.
die Fußleiste, -n;die Fußleiste;baseboard, skirting board;плінтус;Wir verlegen die Netzwerkkabel im IT-Büro sicher hinter der Fußleiste.
die Gewährleistungsfrist, -en;die Gewährleistungsfrist;warranty period;гарантійний термін;Die Gewährleistungsfrist für die neuen Firmen-Monitore beträgt zwei Jahre.
die Kleinigkeit, -en;die Kleinigkeit;small detail, minor matter;дрібниця;Das kleine CSS-Problem ist nur eine Kleinigkeit und schnell gefixt.
lediglich;lediglich;merely, only;лише, тільки;Der Bug tritt lediglich im Safari-Browser auf.
machbar;machbar;feasible, doable;здійсненний, можливий;Dieses Feature ist technisch machbar, dauert aber zwei Sprints.
die Nacharbeiten (Pl.);die Nacharbeiten;rework, touch-ups;доопрацювання;Nach dem Code Review müssen wir noch kleine Nacharbeiten erledigen.
die Nachbesserung, -en;die Nachbesserung;rectification of defects, improvement;виправлення (помилок), доопрацювання;Der Kunde fordert eine Nachbesserung beim UI-Design.
der Personalengpass, "-e;der Personalengpass;staff shortage;нестача персоналу;Wegen Krankheit haben wir aktuell einen Personalengpass im Support-Team.
das Prüfstück, -e;das Prüfstück;test piece, sample;дослідний зразок, тестовий екземпляр;Wir nutzen einen Prototyp der Hardware als Prüfstück.
das Übergabeprotokoll, -e;das Übergabeprotokoll;handover protocol;акт передачі;Beim Wechsel des Laptops unterschreibt der Mitarbeiter ein Übergabeprotokoll.
unverzüglich;unverzüglich;immediately, without delay;негайно, без зволікань;Kritische Server-Ausfälle müssen unverzüglich gemeldet werden.
die Verzögerung, -en;die Verzögerung;delay;затримка;Aufgrund eines Bugs gab es eine Verzögerung beim App-Release.
zeitnah;zeitnah;promptly, in a timely manner;своєчасно, найближчим часом;Bitte beantworten Sie die Support-Tickets möglichst zeitnah.
zufriedenstellend;zufriedenstellend;satisfactory;задовільний;Die Performance der App ist nach dem Datenbank-Update sehr zufriedenstellend.
die Abmahnung, -en;die Abmahnung;warning, reprimand (written);попередження, догана;Ständiges Zuspätkommen zum Daily Scrum kann zu einer Abmahnung führen.
akzeptabel;akzeptabel;acceptable;прийнятний;Eine Ladezeit von über 5 Sekunden ist für die User nicht akzeptabel.
die Bewertung, -en;die Bewertung;evaluation, review, rating;оцінка, відгук;Unsere neue App hat eine sehr gute Bewertung im App Store erhalten.
eine Dienstleistung erbringen (erbringt, erbrachte, hat erbracht);eine Dienstleistung erbringen;to provide a service;надавати послугу;Unser Cloud-Provider muss die vertraglich vereinbarte Dienstleistung erbringen.
erwünscht;erwünscht;desired, welcome;бажаний;Konstruktives Feedback im Code Review ist immer erwünscht.
fällig werden;fällig werden;to become due (for payment);підлягати сплаті, настати (про термін);Die Rechnung für das Software-Abo wird am Monatsende fällig.
permanent;permanent;permanent(ly);постійний, перманентний;Wir brauchen eine permanente und sichere Verbindung zur Datenbank.
eine Rolle spielen;eine Rolle spielen;to play a role/part;відігравати роль;Clean Code spielt eine große Rolle für die Wartbarkeit unseres IT-Projekts.
der Schadenersatz (Sg.);der Schadenersatz;compensation for damages;відшкодування збитків;Bei einem großen Datenverlust kann der Kunde Schadenersatz fordern.
tolerant;tolerant;tolerant;толерантний;Unser Team ist sehr tolerant gegenüber Fehlern, wenn wir daraus lernen.
zum guten Ton gehören;zum guten Ton gehören;to be good manners/etiquette;бути правилом хорошого тону;Pünktlichkeit beim Zoom-Meeting gehört in unserem Team zum guten Ton.
etw. abschalten (schaltet ab, schaltete ab, hat abgeschaltet);abschalten;to switch off, to shut down;вимикати, відключати;Wir müssen den veralteten Datenbank-Server endgültig abschalten.
anfallen (fällt an, fiel an, ist angefallen);anfallen;to arise, to be incurred;виникати (про витрати або роботу);Beim AWS-Cloud-Hosting können sehr hohe Kosten anfallen.
begeistert;begeistert;enthusiastic, excited;у захваті, натхненний;Der Kunde war total begeistert von dem neuen UI-Design.
etw. beschädigen (beschädigt, beschädigte, hat beschädigt);beschädigen;to damage;пошкоджувати;Ein starker Stromausfall kann die Server-Hardware beschädigen.
das Elektronikmodul, -e;das Elektronikmodul;electronic module;електронний модуль;Das Elektronikmodul des neuen IoT-Geräts ist leider durchgebrannt.
etw. erkennen (erkennt, erkannte, hat erkannt);erkennen;to recognize, to detect;розпізнавати, виявляти;Die Künstliche Intelligenz kann komplexe Muster in den Daten erkennen.
erscheinen (erscheint, erschien, ist erschienen);erscheinen;to appear;з'являтися;Der Error-Code 500 wird auf dem Bildschirm erscheinen.
das Fachgeschäft, -e;das Fachgeschäft;specialist shop;спеціалізований магазин;Wir kaufen spezielle Netzwerkkabel im IT-Fachgeschäft.
fehlerhaft;fehlerhaft;faulty, defective, buggy;помилковий, дефектний;Der fehlerhafte Code führte gestern zu einem Server-Absturz.
den Geist aufgeben (gibt auf, gab auf, hat aufgegeben);den Geist aufgeben;to give up the ghost, to break down;наказати довго жити, зламатися;Meine alte SSD-Festplatte hat gestern leider den Geist aufgegeben.
glücklicherweise;glücklicherweise;fortunately, luckily;на щастя;Glücklicherweise hatten wir ein aktuelles Backup der gesamten Datenbank.
die Großwäscherei, -en;die Großwäscherei;large-scale laundry;велика пральня;Wir programmieren eine Logistik-Software für eine Großwäscherei.
die Herstellerfirma, -firmen;die Herstellerfirma;manufacturing company;компанія-виробник;Die Herstellerfirma bietet keine Sicherheits-Updates mehr für diesen Router an.
jdn. konfrontieren mit (+ Dat.) (konfrontiert, konfrontierte, hat konfrontiert);konfrontieren mit;to confront someone with;зіштовхувати когось із, пред'являти;Wir mussten den Cloud-Provider mit den ständigen Ausfallzeiten konfrontieren.
lieferbar;lieferbar;available, deliverable;доступний для доставки, в наявності;Die neuen M3-MacBooks für das Entwicklerteam sind aktuell nicht lieferbar.
das Modul, -e;das Modul;module;модуль;Ich habe das Login-Modul in React komplett neu geschrieben.
der Monteur, -e / die Monteurin, -nen;der Monteur;mechanic, fitter, installer;монтажник, механік;Der Monteur installiert heute das neue Server-Rack im Data Center.
etw. nachbestellen (bestellt nach, bestellte nach, hat nachbestellt);nachbestellen;to reorder;дозамовляти;Wir müssen dringend neue Software-Lizenzen beim Anbieter nachbestellen.
ein Problem beheben (behebt, behob, hat behoben);ein Problem beheben;to fix/resolve a problem;вирішити проблему;Der IT-Support konnte das Login-Problem des Kunden schnell beheben.
der Retourenschein, -e;der Retourenschein;return slip;бланк повернення;Dem defekten Firmen-Laptop lag bereits ein Retourenschein bei.
die Serviceleistung, -en;die Serviceleistung;service;сервісна послуга;Die monatliche Server-Wartung ist eine wichtige Serviceleistung.
die Textilie, -n;die Textilie;textile;текстиль, тканина;Unser E-Commerce-Kunde verkauft nachhaltige Textilien im Internet.
umsonst;umsonst;free of charge, in vain;безкоштовно, даремно;Mein ganzes Refactoring war umsonst, weil der Kunde das Feature gestrichen hat.
etw. verfärben (verfärbt, verfärbte, hat verfärbt);verfärben;to discolor;змінювати колір, забарвлювати;Durch die extreme Hitze im Serverraum hat sich das Plastik verfärbt.
etw. versalzen (versalzt, versalzte, hat versalzen);versalzen;to oversalt;пересолити;Der Koch in der Betriebskantine hat das Mittagessen leider versalzen.
sich verspäten (verspätet sich, verspätete sich, ist verspätet);sich verspäten;to be late, to be delayed;запізнюватися, затримуватися;Das Release-Datum der neuen Software wird sich um eine Woche verspäten.
jdm. etw. versprechen (verspricht, versprach, hat versprochen);jdm. etw. versprechen;to promise someone something;обіцяти комусь щось;Der Provider hat uns vertraglich eine Uptime von 99,9% versprochen.
etw. zerbrechen (zerbricht, zerbrach, hat zerbrochen);zerbrechen;to break, to shatter;розбивати;Das Display des Firmen-Smartphones ist leider zerbrochen.
etw. zerkratzen;zerkratzen;to scratch;подряпати;Das Gehäuse meines Arbeitslaptops ist durch den Transport zerkratzt.
etw. zerreißen (zerreißt, zerriss, hat zerrissen);zerreißen;to tear, to rip;розривати;Ich habe das ausgedruckte Passwort aus Sicherheitsgründen zerrissen.
Abhilfe schaffen (schafft, schaffte, hat geschaffen);Abhilfe schaffen;to remedy, to fix a problem;зарадити, усунути проблему;Ein neues Caching-System wird bei den langsamen Ladezeiten Abhilfe schaffen.
allerdings;allerdings;however, indeed;однак, щоправда;Der Code funktioniert einwandfrei, allerdings ist er sehr schwer zu lesen.
